Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
62	9	0	1.55	124046.144	111501.815	93157.7028	138220.899	12074.0246	547418.359	0	0	0	0	3
63	9	0	1.575	130266.572	113250.874	93157.7028	138220.899	11753.0895	547418.359	0	0	0	0	3
64	9	0	1.6	137332.324	115079.953	93157.7028	138220.899	11507.6809	547418.359	0	0	0	0	3
65	10	0	1.625	134326.795	116047.806	93157.7028	138220.899	8645.42132	547418.359	0	0	0	0	3
66	10	0	1.65	154774.277	118981.928	97742.7205	154774.277	11579.5439	547418.359	0	0	0	0	3
67	10	0	1.675	147074.132	120270.635	97742.7205	154774.277	12868.2504	547418.359	0	0	0	0	3
68	10	0	1.7	154345.377	121038.467	97742.7205	154774.277	13636.0827	547418.359	0	0	0	0	3
69	10	0	1.725	158892.967	123544.078	97742.7205	158892.967	16141.6933	547418.359	0	0	0	0	3
70	10	0	1.75	160101.592	125975.445	97742.7205	160101.592	18573.06	547418.359	0	0	0	0	3
71	10	0	1.775	165877.322	128099.21	97742.7205	165877.322	20696.8253	547418.359	0	0	0	0	3
72	10	0	1.8	167445.181	130165.566	97742.7205	167445.181	22763.1815	547418.359	0	0	0	0	3
73	11	0	1.825	166218.087	132843.97	97742.7205	167445.181	25441.5856	547418.359	0	0	0	0	3
74	11	0	1.85	163326.641	135967.014	101158.863	167445.181	28564.6294	547418.359	0	0	0	0	3
75	11	0	1.875	159005.29	138721.606	102978.677	167445.181	31319.2212	547418.359	0	0	0	0	3
76	11	0	1.9	152651.811	141086.993	103631.433	167445.181	33684.6085	547418.359	0	0	0	0	3
77	11	0	1.925	145726.248	143091.508	106817.166	167445.181	34511.8396	547418.359	0	0	0	0	3
78	11	0	1.95	139508.978	144648.261	114390.392	167445.181	36068.5925	547418.359	0	0	0	0	3
79	11	0	1.975	136045.223	145679.443	116710.694	167445.181	36664.1586	547418.359	0	0	0	0	3
80	11	0	2	131962.524	146405.721	121920.508	167445.181	37390.4362	547418.359	0	0	0	0	3
81	12	0	2.025	122463.043	146348.145	121920.508	167445.181	36019.4164	547418.359	0	0	0	0	3
82	12	0	2.05	125523.095	146519.696	122463.043	167445.181	35017.8809	547418.359	0	0	0	0	3
83	12	0	2.075	130457.936	146825.02	122463.043	167445.181	33574.1456	547418.359	0	0	0	0	3
84	12	0	2.1	118096.29	146245.483	118096.29	167445.181	31745.0664	547418.359	0	0	0	0	3
85	12	0	2.125	125274.86	145671.318	118096.29	167445.181	30777.2139	547418.359	0	0	0	0	3
86	12	0	2.15	125901.411	145270.109	118096.29	167445.181	27843.0913	547418.359	0	0	0	0	3
87	12	0	2.175	126737.611	143935.029	118096.29	167445.181	26554.3848	547418.359	0	0	0	0	3
88	12	0	2.2	121908.764	142736.679	118096.29	167445.181	25786.5525	547418.359	0	0	0	0	3
89	13	0	2.225	130846.848	141617.701	118096.29	167445.181	23280.9418	547418.359	0	0	0	0	3
90	13	0	2.25	135139.032	140486.561	118096.29	167445.181	20849.5752	547418.359	0	0	0	0	3
91	13	0	2.275	134160.043	139251.249	118096.29	167445.181	18725.8098	547418.359	0	0	0	0	3
92	13	0	2.3	128365.456	137464.97	118096.29	167445.181	16659.4537	547418.359	0	0	0	0	3
93	13	0	2.325	130063.642	135684.897	118096.29	166218.087	13981.0496	547418.359	0	0	0	0	3
94	13	0	2.35	135417.217	134218.189	118096.29	163326.641	12606.8311	547418.359	0	0	0	0	3
95	13	0	2.375	133479.986	132796.919	118096.29	159005.29	14028.1003	547418.359	0	0	0	0	3
96	13	0	2.4	128949.912	131365.711	118096.29	152651.811	15459.3088	547418.359	0	0	0	0	3
97	14	0	2.425	132948.17	130427.442	118096.29	145726.248	16397.5774	547418.359	0	0	0	0	3
98	14	0	2.45	136729.853	129999.043	118096.29	139508.978	16825.9772	547418.359	0	0	0	0	3
99	14	0	2.475	133913.988	129732.614	118096.29	136729.853	17092.4053	547418.359	0	0	0	0	3
100	14	0	2.5	132436	129560.747	118096.29	136729.853	17264.2731	547418.359	0	0	0	0	3
101	14	0	2.525	131269.899	129527.765	118096.29	136729.853	17297.2552	547418.359	0	0	0	0	3
102	14	0	2.55	131216.244	129944.584	118096.29	136729.853	17297.2552	547418.359	0	0	0	0	3
103	14	0	2.575	134947.668	130393.373	118096.29	136729.853	17297.2552	547418.359	0	0	0	0	3
104	14	0	2.6	139047.643	130802.406	118096.29	139047.643	16717.7179	547418.359	0	0	0	0	3
105	15	0	2.625	138328.908	131765.864	121908.764	139047.643	16143.553	547418.359	0	0	0	0	3
106	15	0	2.65	136607.171	132305.498	121908.764	139047.643	15742.3442	547418.359	0	0	0	0	3
107	15	0	2.675	135665.587	132770.459	121908.764	139047.643	14407.2649	547418.359	0	0	0	0	3
108	15	0	2.7	135376.515	133181.836	121908.764	139047.643	13208.914	547418.359	0	0	0	0	3
109	15	0	2.725	135438.694	133826.118	128365.456	139047.643	10682.1864	547418.359	0	0	0	0	3
