Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
58	9	0	1.45	6.55881973	4.13761722	1.83224027	6.55881973	2.03851621	0.549165181	0	26.9	0	0	3
59	9	0	1.475	7.03546516	4.36397776	1.83224027	7.03546516	2.14291905	0.562616202	0	26.2	0	0	3
60	9	0	1.5	7.67966826	4.57879127	1.83224027	7.67966826	2.24884698	0.578702137	0	25.7	0	0	3
61	9	0	1.525	7.97695489	4.82227042	1.83224027	7.97695489	2.39859486	0.595005313	0	24.8	0	0	3
62	9	0	1.55	8.29591807	5.10315243	1.83224027	8.29591807	2.64353006	0.610544324	0	23	0	0	3
63	9	0	1.575	8.8838421	5.42874794	1.83224027	8.8838421	2.93952704	0.62789065	0	21.3	0	0	3
64	9	0	1.6	9.30032751	5.78437114	2.30125429	9.30032751	3.294533	0.645935724	0	19.6	0	0	3
65	10	0	1.625	9.50470471	6.08774267	2.30125429	9.50470471	3.59790453	0.663547338	0	18.4	0	0	3
66	10	0	1.65	10.4104849	6.47389651	3.93221225	10.4104849	3.97161531	0.684108899	0	17.2	0	0	3
67	10	0	1.675	10.500094	6.773808	3.93221225	10.500094	4.20560277	0.703557471	0	16.7	0	0	3
68	10	0	1.7	10.8913503	7.07952843	3.93221225	10.8913503	4.50553583	0.723343474	0	16	0	0	3
69	10	0	1.725	11.2174983	7.42644681	4.15515098	11.2174983	4.7944411	0.743154586	0	15.5	0	0	3
70	10	0	1.75	11.4339941	7.77305839	5.06678487	11.4339941	5.02239945	0.76253666	0	15.1	0	0	3
71	10	0	1.775	11.7334654	8.08218556	5.06678487	11.7334654	5.15927065	0.78186195	0	15.1	0	0	3
72	10	0	1.8	11.9386506	8.37953281	5.06678487	11.9386506	5.25739739	0.800771707	0	15.2	0	0	3
73	11	0	1.825	12.0447478	8.6896245	5.06678487	12.0447478	5.37185488	0.818932685	0	15.2	0	0	3
74	11	0	1.85	12.0640747	9.02282877	5.17354699	12.0640747	5.49269537	0.832031323	0	15.1	0	0	3
75	11	0	1.875	11.9932595	9.34757699	5.36022334	12.0640747	5.67697067	0.844381468	0	14.8	0	0	3
76	11	0	1.9	11.8299282	9.65565817	5.56266847	12.0640747	5.87875287	0.856045493	0	14.5	0	0	3
77	11	0	1.925	11.5912288	9.94273247	5.91290495	12.0640747	6.00538254	0.867079031	0	14.4	0	0	3
78	11	0	1.95	11.3060367	10.1995483	6.55881973	12.0640747	5.50525497	0.877531856	0	15.9	0	0	3
79	11	0	1.975	11.037633	10.4128251	7.03546516	12.0640747	5.02860955	0.887448639	0	17.6	0	0	3
80	11	0	2	10.7609395	10.5902286	7.67966826	12.0640747	4.38440644	0.896869583	0	20.4	0	0	3
81	12	0	2.025	10.3475736	10.7172717	7.97695489	12.0640747	4.08711982	0.905830969	0	22.1	0	0	3
82	12	0	2.05	10.1618644	10.8213151	8.29591807	12.0640747	3.76815664	0.914365621	0	24.2	0	0	3
83	12	0	2.075	10.0895669	10.9067269	8.8838421	12.0640747	3.1802326	0.922503314	0	29	0	0	3
84	12	0	2.1	9.6962421	10.9454126	9.30032751	12.0640747	2.7637472	0.928953992	0	33.6	0	0	3
85	12	0	2.125	9.6574548	10.9624187	9.50470471	12.0640747	2.55936999	0.935117973	0	36.5	0	0	3
86	12	0	2.15	9.58920379	10.9664424	9.58920379	12.0640747	2.47487091	0.936632918	0	37.8	0	0	3
87	12	0	2.175	9.55451804	10.9256821	9.55451804	12.0640747	2.50955666	0.938083397	0	37.3	0	0	3
88	12	0	2.2	9.37393451	10.8720555	9.37393451	12.0640747	2.6901402	0.93947344	0	34.9	0	0	3
89	13	0	2.225	9.60324681	10.8107172	9.37393451	12.0640747	2.6901402	0.940244559	0	34.9	0	0	3
90	13	0	2.25	9.67964947	10.7374863	9.37393451	12.0640747	2.6901402	0.93873193	0	34.8	0	0	3
91	13	0	2.275	9.72493251	10.6561024	9.37393451	12.0640747	2.6901402	0.93727862	0	34.8	0	0	3
92	13	0	2.3	9.61707331	10.5553219	9.37393451	12.0640747	2.58690964	0.935881207	0	36.1	0	0	3
93	13	0	2.325	9.65768183	10.4467043	9.37393451	12.0640747	2.27681795	0.934536526	0	41	0	0	3
94	13	0	2.35	9.7860466	10.3391471	9.37393451	12.0640747	1.94361368	0.932997352	0	48	0	0	3
95	13	0	2.375	9.78889057	10.230805	9.37393451	11.9932595	1.61886546	0.931094759	0	57.5	0	0	3
96	13	0	2.4	9.69471168	10.1213503	9.37393451	11.8299282	1.31078428	0.928813419	0	70.8	0	0	3
97	14	0	2.425	9.87068847	10.0280532	9.37393451	11.5912288	1.02370998	0.925852888	0	90.4	0	0	3
98	14	0	2.45	9.93464207	9.94916813	9.37393451	11.3060367	1.01727432	0.921618378	0	90.5	0	0	3
99	14	0	2.475	9.9199114	9.88316217	9.37393451	11.037633	1.08328028	0.91652917	0	84.6	0	0	3
100	14	0	2.5	9.90989372	9.82946029	9.37393451	10.7609395	1.13698215	0.910282931	0	80	0	0	3
101	14	0	2.525	9.86474112	9.78678418	9.37393451	10.3475736	0.973639136	0.903639291	0	92.8	0	0	3
102	14	0	2.55	9.85003039	9.76309164	9.37393451	10.1618644	0.787929915	0.896574278	0	100	0	0	3
103	14	0	2.575	9.94400147	9.75271722	9.37393451	10.0895669	0.715632414	0.888580436	0	100	0	0	3
104	14	0	2.6	10.0870916	9.75259935	9.37393451	10.0870916	0.713157091	0.880032299	0	100	0	0	3
105	15	0	2.625	10.1438394	9.7739135	9.37393451	10.1438394	0.769904871	0.871607256	0	100	0	0	3
106	15	0	2.65	10.1474324	9.79724577	9.37393451	10.1474324	0.773497886	0.863437517	0	100	0	0	3
107	15	0	2.675	10.1478041	9.82384578	9.37393451	10.1478041	0.773869556	0.855511651	0	100	0	0	3
108	15	0	2.7	10.1437186	9.85190295	9.37393451	10.1478041	0.773869556	0.847818898	0	100	0	0	3
109	15	0	2.725	10.1507922	9.88889617	9.60324681	10.1507922	0.547545396	0.840349124	0	100	0	0	3
