Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
59	9	0	1.475	25125.4407	11090.0083	1930.42521	25125.4407	7813.88741	1701.38306	0	21.7	0	0	3
60	9	0	1.5	29920.4911	12230.5649	1930.42521	29920.4911	8739.27263	1800.27011	0	20.5	0	0	3
61	9	0	1.525	32243.6142	13549.402	1930.42521	32243.6142	9898.34795	1903.40861	0	19.2	0	0	3
62	9	0	1.55	34812.6655	15048.0681	1930.42521	34812.6655	11323.1098	2010.78636	0	17.7	0	0	3
63	9	0	1.575	39897.2099	16834.0044	1930.42521	39897.2099	13066.1516	2136.14285	0	16.3	0	0	3
64	9	0	1.6	43735.2294	18824.7093	2846.65799	43735.2294	15056.8566	2270.81302	0	15	0	0	3
65	10	0	1.625	45669.9775	20753.1041	2846.65799	45669.9775	16985.2514	2404.27218	0	14.1	0	0	3
66	10	0	1.65	54835.4975	23228.7631	8173.58788	54835.4975	19412.0504	2571.02403	0	13.2	0	0	3
67	10	0	1.675	55808.4399	25446.9462	8173.58788	55808.4399	21369.1518	2729.87651	0	12.7	0	0	3
68	10	0	1.7	60064.3569	27807.6853	8173.58788	60064.3569	23706.9541	2896.16375	0	12.2	0	0	3
69	10	0	1.725	63768.2266	30455.049	9060.67036	63768.2266	26140.9488	3066.76445	0	11.7	0	0	3
70	10	0	1.75	66286.0368	33180.0665	13284.3386	66286.0368	28374.8556	3236.36212	0	11.4	0	0	3
71	10	0	1.775	69867.9988	35822.0788	13284.3386	69867.9988	30321.8933	3409.29548	0	11.2	0	0	3
72	10	0	1.8	72386.7142	38460.2352	13284.3386	72386.7142	32252.0743	3581.14621	0	11.1	0	0	3
73	11	0	1.825	73802.0076	41215.232	13284.3386	73802.0076	34400.8928	3747.88112	0	10.8	0	0	3
74	11	0	1.85	74218.1337	44116.8413	13818.4266	74218.1337	36658.3065	3900.35987	0	10.6	0	0	3
75	11	0	1.875	73541.5658	46960.8003	14748.0135	74218.1337	38962.7201	4044.12554	0	10.3	0	0	3
76	11	0	1.9	71792.2695	49677.1934	15798.9798	74218.1337	41217.3156	4179.90423	0	10.1	0	0	3
77	11	0	1.925	69197.7771	52219.9933	17789.8561	74218.1337	43069.7164	4308.34353	0	10	0	0	3
78	11	0	1.95	66055.9741	54518.3799	21856.3502	74218.1337	44489.4629	4430.02287	0	9.9	0	0	3
79	11	0	1.975	63036.8188	56479.3546	25125.4407	74218.1337	45389.3463	4545.46224	0	10	0	0	3
80	11	0	2	60017.1239	58140.8633	29920.4911	74218.1337	44297.6426	4655.12965	0	10.5	0	0	3
81	12	0	2.025	55669.0121	59366.9833	32243.6142	74218.1337	41974.5195	4759.44742	0	11.3	0	0	3
82	12	0	2.05	53712.5009	60389.3113	34812.6655	74218.1337	39405.4682	4858.79768	0	12.3	0	0	3
83	12	0	2.075	52935.3259	61252.2951	39897.2099	74218.1337	34320.9238	4953.527	0	14.4	0	0	3
84	12	0	2.1	49124.2886	61691.6798	43735.2294	74218.1337	30482.9043	5041.37741	0	16.5	0	0	3
85	12	0	2.125	48802.5679	61932.9816	45669.9775	74218.1337	28548.1562	5125.32336	0	17.9	0	0	3
86	12	0	2.15	48234.382	62055.0961	48234.382	74218.1337	25983.7517	5191.31042	0	19.9	0	0	3
87	12	0	2.175	47964.0802	61727.8858	47964.0802	74218.1337	26254.0535	5254.48953	0	20	0	0	3
88	12	0	2.2	46289.3873	61274.5976	46289.3873	74218.1337	27928.7464	5315.03617	0	19	0	0	3
89	13	0	2.225	48448.5722	60721.465	46289.3873	74218.1337	27928.7464	5370.87455	0	19.2	0	0	3
90	13	0	2.25	48992.9946	60017.8825	46289.3873	74218.1337	27928.7464	5414.04152	0	19.3	0	0	3
91	13	0	2.275	49336.7288	59210.7726	46289.3873	74218.1337	26233.0173	5455.51568	0	20.7	0	0	3
92	13	0	2.3	48273.2873	58182.453	46289.3873	74218.1337	23594.8609	5495.39468	0	23.2	0	0	3
93	13	0	2.325	48700.9643	57054.5601	46289.3873	74218.1337	20839.8642	5533.7688	0	26.5	0	0	3
94	13	0	2.35	49936.5279	55918.1087	46289.3873	74218.1337	17938.2549	5569.49956	0	31	0	0	3
95	13	0	2.375	49898.1159	54760.0126	46289.3873	73541.5658	15094.2959	5601.84258	0	37.1	0	0	3
96	13	0	2.4	49016.2887	53592.1423	46289.3873	71792.2695	12377.9027	5630.71154	0	45.4	0	0	3
97	14	0	2.425	50809.3564	52592.9559	46289.3873	69197.7771	9835.10284	5654.25175	0	57.4	0	0	3
98	14	0	2.45	51333.8376	51742.2922	46289.3873	66055.9741	10312.804	5668.31692	0	54.9	0	0	3
99	14	0	2.475	51162.9378	51033.1	46289.3873	63036.8188	11021.9962	5675.05883	0	51.4	0	0	3
100	14	0	2.5	51065.2462	50463.0251	46289.3873	60017.1239	11592.0711	5671.70108	0	48.9	0	0	3
101	14	0	2.525	50652.6188	50017.0963	46289.3873	55669.0121	9379.62479	5663.74761	0	60.3	0	0	3
102	14	0	2.55	50519.6762	49771.8898	46289.3873	53712.5009	7423.11354	5650.93067	0	76.1	0	0	3
103	14	0	2.575	51434.7327	49663.4246	46289.3873	52935.3259	6645.93857	5628.54813	0	84.6	0	0	3
104	14	0	2.6	52782.3225	49656.1388	46289.3873	52782.3225	6492.93518	5599.45503	0	86.2	0	0	3
105	15	0	2.625	53242.0411	49852.2222	46289.3873	53242.0411	6952.65381	5567.57917	0	80	0	0	3
106	15	0	2.65	53265.6917	50064.7519	46289.3873	53265.6917	6976.30441	5535.5096	0	79.3	0	0	3
107	15	0	2.675	53310.2229	50306.4586	46289.3873	53310.2229	7020.83557	5504.39733	0	78.4	0	0	3
108	15	0	2.7	53331.8299	50562.0658	46289.3873	53331.8299	7042.44256	5474.20013	0	77.7	0	0	3
109	15	0	2.725	53438.0768	50902.4795	48273.2873	53438.0768	5164.78945	5444.87821	0	100	0	0	3
